19 (19, b'Rev102', 0, 15, 14, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BR_Wheel_2', (-0.707107, -0.5, -0.5), (1.8635582590791067e-07, -3.433539322878626e-07, 4.794517822117456e-07), (0.0, 0.0, 0.0, 1.0), 18)  


20 (20, b'FrontRight', 0, 16, 15, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_TopBase_1', (-1.0, 0.0, 0.0), (0.07600008084747031, 0.10000046978271349, -0.04499972689629067), (0.0, 0.0, 0.0, 1.0), -1)
21 (21, b'Rigid19', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_TopPlate_1', (0.0, 0.0, 0.0), (0.004052317798445117, 4.697827135496935e-07, 2.731039464524271e-07), (0.0, 0.0, 0.0, 1.0), 20)
22 (22, b'Rigid18', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_MC_1', (0.0, 0.0, 0.0), (-0.0010546576716310013, 4.697826461314003e-07, 2.7310377668718355e-07), (0.0, 0.0, 0.0, 1.0), 21)
23 (23, b'Rigid17', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_BotPlate_1', (0.0, 0.0, 0.0), (0.016000080847470455, 4.697827135080601e-07, 2.731037093226668e-07), (0.0, 0.0, 0.0, 1.0), 22)
24 (24, b'Rigid86', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_Roller_1', (0.0, 0.0, 0.0), (0.0040023423283689985, 0.02402046978264613, -0.008547726896223313), (0.0, 0.0, 0.0, 1.0), 21)
25 (25, b'Rev78', 0, 17, 16, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_Wheel_1', (0.707107, -0.5, -0.5), (4.504244703121274e-07, 4.284775989510728e-07, 2.51283190281712e-07), (0.0, 0.0, 0.0, 1.0), 24)       
26 (26, b'Rigid87', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_Roller_2', (0.0, 0.0, 0.0), (0.0040023423283689985, 0.023029469782646132, 0.010940273103776687), (0.0, 0.0, 0.0, 1.0), 21)
